node_id,lat,lon
61182955,42.3851837,-71.1161327
61283119,42.3559021,-71.1095705
61283126,42.356645,-71.1087939
61283218,42.3559928,-71.1033176
61283269,42.3601506,-71.0948847
61283273,42.3568683,-71.1135582
61283287,42.3559879,-71.1120124
61283293,42.3561039,-71.0965487
61283300,42.356527,-71.1114547
61283305,42.3564065,-71.1104454
61283311,42.35663,-71.0968722
61283315,42.356868,-71.109219
61283322,42.3561388,-71.10998
61283333,42.3562883,-71.1142293
61283340,42.3573766,-71.1129953
61283345,42.3568122,-71.1111466
61283350,42.3628543,-71.0920014
61283366,42.3628055,-71.0913494
61283373,42.3623407,-71.0851597
61283385,42.3625051,-71.0870803
61316733,42.3710975,-71.1345634
61316739,42.3745747,-71.1284253
61317281,42.3592241,-71.0872011
61317284,42.3581085,-71.090535
61317292,42.3550229,-71.1052895
61317302,42.3554427,-71.1044373
61317303,42.3698047,-71.1224552
61317320,42.3691584,-71.1172831
61317323,42.3696011,-71.1181455
61317333,42.3588589,-71.1155963
61317337,42.3680457,-71.0907843
61317338,42.3683804,-71.0905932
61317355,42.3691316,-71.1005368
61317356,42.3935788,-71.134161
61317358,42.3717301,-71.1178565
61317361,42.3683897,-71.1087707
61317362,42.3678508,-71.1076864
61317364,42.3682049,-71.1083789
61317365,42.368115,-71.101223
61317367,42.3682994,-71.1017489
61317368,42.3892794,-71.1326533
61317369,42.390262,-71.132694
61317370,42.3896315,-71.1326763
61317371,42.3714363,-71.1170458
61317375,42.3800277,-71.1524341
61317381,42.3655216,-71.0941272
61317382,42.367969,-71.10081
61317383,42.3651691,-71.0933019
61317385,42.3806425,-71.153543
61317386,42.3648596,-71.0926213
61317398,42.3626089,-71.1125352
61317399,42.3626696,-71.1123566
61317400,42.3622709,-71.1135298
61317410,42.3537564,-71.110403
61317411,42.3695925,-71.106888
61317413,42.369783,-71.107198
61317415,42.3668004,-71.1009956
61317416,42.3669615,-71.1015063
61317417,42.3540153,-71.1103117
61317420,42.3652001,-71.1048938
61317422,42.3685526,-71.1080143
61317423,42.3655877,-71.1040004
61317426,42.3673104,-71.1140131
61317427,42.3677372,-71.1140115
61317428,42.3901589,-71.1241378
61317429,42.3899762,-71.1236315
61317442,42.3538822,-71.110838
61317446,42.3539484,-71.1109873
61317454,42.3635742,-71.0974813
61317457,42.3732415,-71.0944229
61317471,42.3650764,-71.0998263
61317476,42.3594843,-71.1009714
61317478,42.360739,-71.0981013
61317483,42.3905496,-71.1238614
61317485,42.3758097,-71.1276485
61317489,42.3903711,-71.1233789
61317491,42.384295,-71.1277995
61317495,42.375913,-71.128059
61317497,42.384643,-71.128103
61317499,42.3656806,-71.0996858
61317501,42.3565472,-71.1048721
61317503,42.356213,-71.104251
61317509,42.3829,-71.139373
61317511,42.3830447,-71.1386543
61317513,42.365289,-71.099984
61317515,42.3834037,-71.1282834
61317521,42.3786479,-71.1084253
61317523,42.3648327,-71.0990955
61317525,42.3831214,-71.1288139
61317529,42.3832283,-71.1284294
61317531,42.3974594,-71.1302191
61317533,42.3973912,-71.1303112
61317535,42.3966494,-71.1293159
61317537,42.3966088,-71.1294308
61317539,42.3960633,-71.1286583
61317541,42.3960105,-71.128748
61317543,42.394692,-71.1271189
61317545,42.3946346,-71.1272068
61317547,42.3945568,-71.1269651
61317549,42.3944997,-71.1270525
61317551,42.3605496,-71.1109429
61317553,42.3603084,-71.1112044
61317585,42.3762283,-71.131518
61317586,42.3758176,-71.1315633
61317589,42.380305,-71.13414
61317593,42.3720917,-71.0841444
61317596,42.372297,-71.0841
61317601,42.3735294,-71.0886508
61317605,42.3866177,-71.141194
61317607,42.3866527,-71.1412113
61317609,42.3977664,-71.1307311
61317611,42.3978242,-71.1306347
61317645,42.3643326,-71.0970685
61317649,42.3594408,-71.1102038
61317651,42.3596313,-71.1105019
61317653,42.3893361,-71.1208414
61317657,42.3700042,-71.115134
61317659,42.370129,-71.115579
61317661,42.3650817,-71.1068994
61317663,42.3650545,-71.1072166
