node_id,lat,lon
61746218,12.9460158,77.6186662
61746220,12.9412556,77.6241534
61746221,12.944154,77.620952
260729385,12.9300545,77.6331602
260729388,12.9331391,77.6310058
260729389,12.935128,77.6290489
260739401,12.9306743,77.6289732
260739404,12.9285912,77.6290605
263220551,12.9273383,77.6256948
263226812,12.9261625,77.6286758
263226936,12.9270524,77.6264198
263227126,12.9255601,77.6335759
263227171,12.9258691,77.6374913
265524447,12.9265195,77.6277708
265524451,12.9286816,77.6280862
265525604,12.9286343,77.6285962
265525611,12.9312415,77.6231979
265525615,12.9306064,77.6248423
265525627,12.9305619,77.6255487
301347812,12.9303496,77.6276105
301348097,12.926351,77.6281978
301348248,12.9287781,77.6270468
301348393,12.9304478,77.6268215
301348513,12.9280436,77.6239069
301350890,12.9405075,77.6202253
303931703,12.9367994,77.6274193
303931711,12.934835,77.6249936
303933199,12.926076,77.6366314
303933201,12.9260188,77.6370147
304771894,12.9314922,77.6226225
305091088,12.9273784,77.6236662
305091122,12.9253689,77.6285472
305091142,12.9278704,77.6258862
305091228,12.9285949,77.6241075
305091273,12.9283574,77.6246886
305091318,12.9305132,77.6261452
305091330,12.9292697,77.6243495
305091341,12.9302411,77.6221345
305091418,12.9300109,77.6226739
305091419,12.9308195,77.6230182
305091421,12.9301442,77.6246592
305091422,12.9304106,77.6228441
305091424,12.9297154,77.624524
305091505,12.9281225,77.6252634
305091576,12.9287827,77.6236481
305091594,12.9289887,77.623144
305091596,12.9275558,77.6225672
305091599,12.9280664,77.6227726
305091600,12.9285868,77.6214602
305091604,12.9284829,77.6229401
305091854,12.9368612,77.6265291
305091860,12.9364379,77.6269037
305091861,12.9355998,77.627704
305091873,12.932879,77.6275691
305091884,12.9342129,77.6260096
305091898,12.9338436,77.6266153
305091899,12.9353985,77.6287871
305091913,12.9350341,77.6269449
305091961,12.9352401,77.6266654
305091963,12.9360846,77.6255428
305091972,12.9354211,77.625671
305091976,12.9348251,77.6266872
305091999,12.9351662,77.6253582
305092000,12.934548,77.6263648
305092001,12.9350477,77.6282361
305092002,12.9340363,77.6290958
305092003,12.9348678,77.6279905
305092006,12.933861,77.6288446
305092008,12.9341813,77.6270532
305092009,12.93349,77.6276834
305092010,12.9331537,77.6279317
305092011,12.9339472,77.6272783
305092012,12.9346018,77.628223
305092013,12.9337214,77.6274834
305092014,12.9343774,77.628415
305092015,12.9341318,77.6286193
305092021,12.933231,77.6280313
305092023,12.9323767,77.6287962
305092025,12.9305529,77.6297078
305092268,12.9316932,77.6299184
305092269,12.9311848,77.6294317
305092417,12.9303089,77.6306021
305134771,12.9298567,77.6335422
305134812,12.9257381,77.6346227
305134843,12.9289647,77.6342683
305134881,12.9271977,77.6371851
305144294,12.9287564,77.634727
305144298,12.925823,77.6350961
305144299,12.9281605,77.6348055
305144362,12.9265579,77.6366823
305144373,12.9262445,77.6350437
305144478,12.9256177,77.6339586
305144537,12.9269428,77.6338199
305144566,12.9273976,77.6364321
305144569,12.9266812,77.6349894
305144596,12.927012,77.6367396
305144597,12.9271555,77.637179
305145664,12.9310512,77.6340093
305145987,12.9315908,77.6339579
306580353,12.9295642,77.6291916
306580382,12.9291048,77.6312233
306580384,12.9283011,77.6290132
306580569,12.9295532,77.6313425
306582104,12.932688,77.627736
306582120,12.9303724,77.6274511
306582347,12.9309442,77.6275279
306582377,12.9307784,77.6284042
306582445,12.9320916,77.6276883
306835061,12.9425251,77.6227797
308915753,12.924503,77.6282515
308915754,12.9242381,77.6289059
308915757,12.9253009,77.636376
308915759,12.925166,77.6373952
308917132,12.9260844,77.62681
308917133,12.9268059,77.6270445
308917326,12.9306711,77.624661
308917360,12.9317842,77.6250332
308917419,12.9342986,77.6258773
308917473,12.9338545,77.6257011
308917649,12.934525,77.6246163
308917653,12.9324584,77.6236833
308918175,12.9327112,77.6231011
309592649,12.9354104,77.6263947
309592656,12.936103,77.627218
309592657,12.9358786,77.6274347
309592695,12.9351903,77.6244413
309592832,12.9361127,77.6254105
309592878,12.9379837,77.6238238
309593030,12.9397032,77.62229
309593063,12.9364402,77.6251252
309593068,12.9371854,77.6245262
309593074,12.9376443,77.6241215
309593120,12.9392817,77.6218499
309593162,12.9410855,77.6218654
309593163,12.9418575,77.6228386
309593172,12.9383089,77.6235423
309593175,12.9385432,77.6238341
309593180,12.9396212,77.6228577
309593253,12.9400233,77.6207688
309593254,12.940177,77.6228174
309593259,12.9409227,77.623776
309593261,12.942244,77.6224302
309593264,12.9408041,77.6221629
309593271,12.939443,77.6213505
309593283,12.9405263,77.6224529
309593297,12.9395944,77.6251154
309593316,12.9406204,77.6240784
309593333,12.9392302,77.6232332
309593337,12.9402638,77.6244408
309593339,12.9389913,77.6234421
309593345,12.9400232,77.6246832
309593346,12.9387785,77.6236225
309593348,12.9398248,77.6248832
309593397,12.9408456,77.6221196
309593398,12.9416303,77.6230642
309593399,12.9406341,77.6223403
309593400,12.9414394,77.6232761
309593401,12.9404185,77.6225654
309593414,12.9412303,77.6235081
309593849,12.9313022,77.6230678
309593854,12.9317961,77.6232567
309593860,12.9312722,77.6243622
309593901,12.9320762,77.6233639
309593965,12.9314062,77.6249075
348037007,12.9434399,77.6175276
348037008,12.943012,77.6174891
348037010,12.941714,77.6173602
363187401,12.9373679,77.6243653
363189765,12.9367372,77.6254756
363189766,12.9371595,77.6259883
363190535,12.937575,77.6241826
363190994,12.9379093,77.6245649
363191139,12.9383451,77.6250695
363191257,12.9385771,77.625346
363191422,12.9373971,77.6262661
363191551,12.9370676,77.6252191
363191623,12.9374894,77.6257151
363191628,12.9373022,77.6250277
363191639,12.9377224,77.6255393
363191707,12.9376068,77.6247999
363191726,12.9379988,77.6253307
363232726,12.941311,77.6187042
363232731,12.9421992,77.6196605
363232735,12.9431513,77.6193994
363232737,12.943427,77.6189104
363232738,12.9434608,77.6187386
363232741,12.9435088,77.6178141
363771007,12.940746,77.6197772
363771377,12.9409076,77.6194783
363775721,12.9413792,77.6173382
363788898,12.9426512,77.6174511
363791776,12.9435737,77.6175476
363795803,12.9414198,77.6212361
438068380,12.9297646,77.6303354
438069091,12.9302381,77.6326047
438069275,12.9313707,77.6320707
438069276,12.931773,77.6315327
438069277,12.932741,77.6306092
438069279,12.9334978,77.6297802
443224551,12.9341184,77.6341032
443224552,12.9346027,77.6344863
443224554,12.9348607,77.6352226
443224568,12.9346942,77.6346441
443224570,12.9306608,77.6308145
443224571,12.9309597,77.6301351
443224572,12.9311787,77.6299029
443224573,12.931484,77.6297181
443224575,12.9334607,77.6283279
443224576,12.933645,77.6285657
443224577,12.9328796,77.6292599
443224578,12.932653,77.6290686
443224580,12.9311601,77.6311519
443224581,12.931729,77.6302753
443224582,12.9320044,77.6301236
443224583,12.9331163,77.6294746
443224584,12.9332438,77.6295726
443224585,12.9324299,77.6304043
443224586,12.9324998,77.6308393
443224587,12.9322951,77.6310346
443224588,12.9315085,77.6304978
443224589,12.9320437,77.6312745
443224590,12.9308108,77.6304357
443224591,12.9313378,77.630779
443224592,12.9315638,77.6318095
443224593,12.930556,77.631149
443224595,12.9305785,77.632458
443224596,12.9304601,77.6315333
443224603,12.9334435,77.6264286
459782085,12.9465783,77.6174832
503050639,12.9290553,77.621651
503050641,12.9295187,77.6218475
503065534,12.9281284,77.6212637
583466957,12.9325211,77.6235463
583466958,12.9356757,77.6259763
595765589,12.9270823,77.6344737
595765590,12.9271812,77.634911
595766030,12.9266427,77.6254533
663102272,12.9393759,77.6225806
672579815,12.9421419,77.6178568
672579817,12.9429578,77.61788
672579828,12.9424048,77.6187048
672579829,12.9422713,77.6186828
672579830,12.9422624,77.6196952
672579831,12.9422578,77.6193513
672579836,12.9428391,77.6193625
672579840,12.9431945,77.6186542
929252941,12.9436971,77.6202193
956034560,12.9261921,77.6317161
956276595,12.9453274,77.6170695
960530573,12.9448446,77.6190676
960530581,12.944197,77.6189014
960530588,12.9439505,77.6188323
960532674,12.9439372,77.6197535
960535033,12.9438197,77.6193927
960536079,12.9422743,77.620316
960536082,12.9424102,77.621226
960536085,12.9421851,77.6214784
1070361741,12.9258917,77.6251942
1070361777,12.9268492,77.6229326
1274328906,12.9353344,77.6296896
1391210493,12.9415561,77.62642
1391210496,12.9405388,77.626491
1391210499,12.9415163,77.6260788
1391210500,12.9411958,77.6259878
1391210501,12.9407171,77.6269256
1391210502,12.9404489,77.6261829
1391210506,12.9408545,77.62587
1391210508,12.9403441,77.6258879
1391210514,12.9406385,77.6267673
1430679862,12.9270606,77.6383944
1430679870,12.9273744,77.6377093
1430679874,12.9248118,77.6380222
1466637175,12.9421919,77.6174083
1468540687,12.941206,77.624091
1469644226,12.9244338,77.6386112
1469644231,12.925004,77.6336364
1469644253,12.9252567,77.6374045
1469644263,12.9254266,77.6369855
1469644287,12.9266897,77.6389683
1615723287,12.9334225,77.6233943
1620346627,12.9275787,77.6375047
1625402539,12.9344683,77.6238609
1759942773,12.9258422,77.6327515
1759942777,12.9258904,77.6334526
1759942779,12.9269173,77.6333551
1759977210,12.9246162,77.6282981
1759977212,12.9248416,77.6327303
1761893917,12.9348055,77.6293659
1761893918,12.9349406,77.6297914
1761893926,12.9354848,77.6287119
1761893928,12.9356537,77.6295896
1761893929,12.9357355,77.6287062
1761893936,12.9359637,77.6294989
1761893959,12.9362777,77.6293386
1770490835,12.9331941,77.6359634
1770490841,12.9342539,77.6362309
1770490843,12.9339455,77.6364724
1770490845,12.9322973,77.6338725
1770490847,12.9328645,77.6338186
1770490851,12.9322969,77.6354201
1781959096,12.9426919,77.6178326
1781959097,12.9427261,77.6174579
2228165471,12.9412707,77.6210254
2228165491,12.9415455,77.6190014
2228225770,12.9414605,77.6188286
2228225772,12.9416245,77.6214994
2228225773,12.9416355,77.6185128
2228225774,12.9416698,77.6181731
2228225776,12.9418544,77.6217952
2228225784,12.9426246,77.6200538
2228225787,12.943299,77.6204476
2228225790,12.9434495,77.6182668
2228225791,12.9434836,77.6184425
2228225793,12.9436401,77.6196185
2228225795,12.9439056,77.6183462
2228225799,12.9439756,77.6179247
2228225800,12.9441401,77.6185815
2228225803,12.9444134,77.6186641
2228225804,12.9444579,77.6189627
2228225806,12.9447647,77.6178921
2228225808,12.9446171,77.6178166
2228225813,12.9447852,77.6174086
2228225817,12.9449667,77.6179261
2228225818,12.9451297,77.6179822
2228225819,12.9451658,77.6170161
2228225821,12.9452986,77.618284
2228225822,12.9453619,77.6178497
2228225823,12.9454123,77.6180842
2228225824,12.9454339,77.6172969
2228225826,12.9454999,77.6171355
2228225828,12.9455452,77.6183697
2228225829,12.9455958,77.6177027
2228225830,12.9455892,77.6173503
2228225831,12.9456199,77.6181394
2228225832,12.9456678,77.6171821
2228225833,12.9456773,77.6175378
2228225835,12.9457478,77.6173952
2228225837,12.9457717,77.6177658
2228225838,12.9458271,77.6172347
2228225842,12.9459069,77.6174287
2228225843,12.9461588,77.6183292
2228225847,12.9461873,77.6182959
2228225848,12.9462543,77.6181353
2228225849,12.9463377,77.617969
2228225851,12.9464178,77.6178073
2228225852,12.9464945,77.6176523
2228517315,12.9308518,77.6241866
2415950870,12.9268708,77.6323631
2526076436,12.9435363,77.6205813
2746550985,12.9265612,77.623379
3143852515,12.9328994,77.6336226
3143852516,12.9316638,77.6334015
3145130511,12.9322071,77.6334952
3145130516,12.9332839,77.6337358
3145130518,12.932601,77.6335687
3145130520,12.9336873,77.6338878
3145158634,12.9389451,77.6257855
3145158641,12.9343933,77.6343045
3149542148,12.9274016,77.6384047
3149542150,12.9267997,77.6395876
3149542154,12.9259844,77.6391515
3149542155,12.9265781,77.6392336
3149542156,12.9281564,77.6369485
3149542157,12.9284297,77.6371035
3158788643,12.9280762,77.6378163
3158788647,12.9271481,77.638255
3158788648,12.9276669,77.6385459
3158788651,12.9255973,77.6388022
3158788655,12.9272439,77.6381151
3161118524,12.924298,77.6389482
3379605044,12.9394716,77.622999
3379605045,12.940457,77.6242461
3399067464,12.9404644,77.6202825
3399683411,12.9394696,77.6268249
3399683413,12.9382511,77.6271508
3399683420,12.9396052,77.6273304
3399683425,12.9400752,77.6268609
3399683426,12.9398719,77.6267167
3399683429,12.939884,77.627257
3399683430,12.9384036,77.6261302
3399683434,12.9388026,77.6272968
3399683435,12.9382732,77.627453
3399683437,12.9383401,77.628012
3399683438,12.9388851,77.6275758
3399683440,12.9383183,77.6277551
3452260835,12.9300751,77.6336189
3452278570,12.9305505,77.6337988
3452278572,12.9308421,77.6329681
3452278573,12.930946,77.6332238
3452278578,12.9301072,77.6334257
3558446066,12.9346844,77.6299342
3683354538,12.9436066,77.6174644
3684937733,12.9424183,77.6178369
3684965843,12.9387203,77.6270127
3740957803,12.9376582,77.6265696
3740957812,12.9409012,77.624399
3740957813,12.9409526,77.624452
3740957819,12.9432959,77.6218316
3740957820,12.9438746,77.6211655
3740957821,12.9440989,77.6209018
3740957822,12.944716,77.6201013
3740957823,12.9453304,77.6192198
3740962129,12.9459104,77.6184805
3740962130,12.9460407,77.6185324
3801688116,12.9303988,77.6330477
3801688120,12.93222,77.6318336
3801688122,12.9330766,77.6309441
3801688124,12.9339015,77.630151
3801692755,12.9245075,77.6313682
3801692781,12.9336568,77.630379
3801692785,12.935357,77.6287135
3801692786,12.9359641,77.6280956
3801695507,12.9254753,77.6334917
3801695511,12.9269216,77.6334528
3801700762,12.934432,77.6296147
3870651472,12.9326188,77.6371853
4032342086,12.9303855,77.6358731
4032342087,12.9307192,77.6354287
4032342289,12.9310431,77.6362726
4032342291,12.9314828,77.6339643
4032342292,12.9312643,77.6358454
4032342293,12.9313139,77.6357453
4032342295,12.9314513,77.6354945
4032342297,12.9316696,77.6350793
4032342298,12.93186,77.6364008
4032342299,12.9321084,77.6342234
4032342300,12.932184,77.6340928
4032342301,12.9322506,77.6366957
4032342303,12.9322803,77.6366354
4032342304,12.9323873,77.6364313
4032342305,12.9325528,77.6360918
4032342306,12.9325358,77.6371547
4032342309,12.9327448,77.6356922
4267702357,12.9329754,77.6248144
4267702358,12.9329706,77.6253934
4267702363,12.933232,77.6254669
4282466478,12.9435745,77.6237264
4282466482,12.9443145,77.6229585
4464082677,12.9253402,77.6265362
4533883479,12.9249906,77.6335475
4533883485,12.9246883,77.6316508
4761188838,12.9275608,77.6210315
4803435047,12.9434752,77.6179545
4803681190,12.9288886,77.630749
4803681191,12.9291644,77.6295456
4803681192,12.9288682,77.6295244
4803681193,12.9285783,77.6306661
4803681194,12.9282844,77.6305876
4803681195,12.9285423,77.6295011
4803681196,12.9294894,77.6295658
4803681197,12.9281964,77.6294763
4803681198,12.9279644,77.6305021
4803681199,12.9291929,77.6308262
5281243701,12.9428705,77.6196573
5281243702,12.9434934,77.6199384
5281244855,12.9427892,77.619713
5388494827,12.9269243,77.6385971
