city,num_emergencies,trial,algorithm,objective,time_s,status,convergence_len
koramangala,5,1,Standard GA,2.0629135229251307,0.5237579345703125,success,10
koramangala,5,1,Elitist GA,2.5786419036564134,0.8067476749420166,ok,52
koramangala,5,1,Adaptive GA,2.5786419036564134,0.7115523815155029,ok,52
koramangala,5,1,Hybrid GA,2.5786419036564134,1.6309783458709717,ok,52
koramangala,5,2,Standard GA,2.0629135229251307,0.5079622268676758,success,10
koramangala,5,2,Elitist GA,2.5786419036564134,0.7809016704559326,ok,52
koramangala,5,2,Adaptive GA,2.5786419036564134,0.7983531951904297,ok,52
koramangala,5,2,Hybrid GA,2.5786419036564134,1.3378617763519287,ok,52
koramangala,5,3,Standard GA,2.0629135229251307,0.1703634262084961,success,10
koramangala,5,3,Elitist GA,2.5786419036564134,0.8664770126342773,ok,52
koramangala,5,3,Adaptive GA,2.5786419036564134,0.8036620616912842,ok,52
koramangala,5,3,Hybrid GA,2.5786419036564134,1.3914062976837158,ok,52
koramangala,10,1,Standard GA,4.125827045850262,0.7076692581176758,success,10
koramangala,10,1,Elitist GA,5.157283807312827,1.1180734634399414,ok,52
koramangala,10,1,Adaptive GA,5.157283807312827,0.9695785045623779,ok,52
koramangala,10,1,Hybrid GA,5.157283807312827,5.3049538135528564,ok,52
koramangala,10,2,Standard GA,4.125827045850262,0.5500023365020752,success,10
koramangala,10,2,Elitist GA,5.157283807312827,1.052154541015625,ok,52
koramangala,10,2,Adaptive GA,5.157283807312827,0.9651648998260498,ok,52
koramangala,10,2,Hybrid GA,5.157283807312827,5.141515016555786,ok,52
koramangala,10,3,Standard GA,4.125827045850262,0.4524993896484375,success,10
koramangala,10,3,Elitist GA,5.157283807312827,0.8682370185852051,ok,52
koramangala,10,3,Adaptive GA,5.157283807312827,0.959620475769043,ok,52
koramangala,10,3,Hybrid GA,5.157283807312827,4.555750370025635,ok,52
koramangala,15,1,Standard GA,6.188740568775394,0.6058177947998047,success,10
koramangala,15,1,Elitist GA,7.735925710969241,1.2063639163970947,ok,52
koramangala,15,1,Adaptive GA,7.735925710969241,1.3044323921203613,ok,52
koramangala,15,1,Hybrid GA,7.735925710969241,16.31620717048645,ok,52
koramangala,15,2,Standard GA,6.188740568775394,0.7272069454193115,success,10
koramangala,15,2,Elitist GA,7.735925710969241,1.1709604263305664,ok,52
koramangala,15,2,Adaptive GA,7.735925710969241,1.2216753959655762,ok,52
koramangala,15,2,Hybrid GA,7.735925710969241,15.953519821166992,ok,52
koramangala,15,3,Standard GA,6.188740568775394,0.6723501682281494,success,10
koramangala,15,3,Elitist GA,7.735925710969241,1.3411996364593506,ok,52
koramangala,15,3,Adaptive GA,7.735925710969241,1.5228230953216553,ok,52
koramangala,15,3,Hybrid GA,7.735925710969241,14.85007905960083,ok,52
koramangala,20,1,Standard GA,8.251654091700525,0.7462353706359863,success,10
koramangala,20,1,Elitist GA,10.314567614625654,1.3140268325805664,ok,52
koramangala,20,1,Adaptive GA,10.314567614625654,1.3994271755218506,ok,52
koramangala,20,1,Hybrid GA,10.314567614625654,32.86317563056946,ok,52
koramangala,20,2,Standard GA,7.899071387115499,0.7399678230285645,success,10
koramangala,20,2,Elitist GA,9.87383923389437,1.3909869194030762,ok,52
koramangala,20,2,Adaptive GA,9.87383923389437,1.914720058441162,ok,52
koramangala,20,2,Hybrid GA,9.87383923389437,37.04604983329773,ok,52
koramangala,20,3,Standard GA,8.251654091700525,0.9071612358093262,success,10
koramangala,20,3,Elitist GA,10.314567614625654,1.6163825988769531,ok,52
koramangala,20,3,Adaptive GA,10.314567614625654,1.4929871559143066,ok,52
koramangala,20,3,Hybrid GA,10.314567614625654,33.365723609924316,ok,52
koramangala,25,1,Standard GA,10.314567614625652,0.8458397388458252,success,10
koramangala,25,1,Elitist GA,12.893209518282065,2.189737558364868,ok,52
koramangala,25,1,Adaptive GA,12.893209518282065,1.7138376235961914,ok,52
koramangala,25,1,Hybrid GA,12.893209518282065,64.34433889389038,ok,52
koramangala,25,2,Standard GA,9.961984910040627,0.7285714149475098,success,10
koramangala,25,2,Elitist GA,12.0117527568195,1.4583663940429688,ok,52
koramangala,25,2,Adaptive GA,12.0117527568195,1.8158180713653564,ok,52
koramangala,25,2,Hybrid GA,12.0117527568195,67.04606318473816,ok,52
koramangala,25,3,Standard GA,10.314567614625652,1.033372163772583,success,10
koramangala,25,3,Elitist GA,12.893209518282065,2.0400876998901367,ok,52
koramangala,25,3,Adaptive GA,12.893209518282065,2.0627458095550537,ok,52
koramangala,25,3,Hybrid GA,12.893209518282065,63.48423790931702,ok,52
bangalore_central,5,1,Standard GA,1.9338354505873112,0.35797953605651855,success,10
bangalore_central,5,1,Elitist GA,2.417294313234139,0.617133617401123,ok,52
bangalore_central,5,1,Adaptive GA,2.417294313234139,0.5964703559875488,ok,52
bangalore_central,5,1,Hybrid GA,2.417294313234139,1.2222018241882324,ok,52
bangalore_central,5,2,Standard GA,1.9338354505873112,0.3847067356109619,success,10
bangalore_central,5,2,Elitist GA,2.417294313234139,0.5364012718200684,ok,52
bangalore_central,5,2,Adaptive GA,2.417294313234139,0.6000380516052246,ok,52
bangalore_central,5,2,Hybrid GA,2.417294313234139,1.058612585067749,ok,52
bangalore_central,5,3,Standard GA,1.9338354505873112,0.3945600986480713,success,10
bangalore_central,5,3,Elitist GA,2.417294313234139,0.6688942909240723,ok,52
bangalore_central,5,3,Adaptive GA,2.417294313234139,0.7083373069763184,ok,52
bangalore_central,5,3,Hybrid GA,2.417294313234139,0.944676399230957,ok,52
